台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
南下(Southbound),,,,,,,,,,
,,,,,,,,,,
行駛日,,,,,,六,,一~六,,
"      車次

站名",E',F,B',D,F,D,B,E,D,B'
,583,803,203,603,805,1607,109,1505,609,205
,,,,,,,,,,
南港,,06:15,,06:40,07:00,07:10,07:20,07:25,07:35,07:40
,,,,,,,,,,
台北,,06:26,06:30,06:51,07:11,07:21,07:31,07:36,07:46,07:51
,,,,,,,,,,
板橋,,06:34,06:38,07:00,07:19,07:29,07:39,07:46,07:55,07:59
,,,,,,,,,,
桃園,,06:49,↓,07:15,07:34,07:43,↓,08:01,08:10,↓
,,,,,,,,,,
新竹,,07:02,↓,07:27,07:47,07:56,↓,08:12,08:22,↓
,,,,,,,,,,
苗栗,,07:13,↓,↓,07:58,↓,↓,08:25,↓,↓
,,,,,,,,,,
台中,06:25,07:32,07:20,07:53,08:17,08:25,08:20,08:42,08:48,08:40
,,,,,,,,=,,
彰化,06:37,07:45,↓,↓,08:30,↓,↓,,↓,↓
,,,,,,,,,,
雲林,06:47,07:56,↓,↓,08:41,↓,↓,,↓,↓
,,,,,,,,,,
嘉義,06:59,08:10,07:45,08:19,08:55,08:50,↓,,09:14,↓
,,,,,,,,,,
台南,07:17,08:28,08:03,08:38,09:13,09:07,↓,,09:33,09:18
,,,,,,,,,,
左營,07:30,08:40,08:15,08:50,09:25,09:20,09:05,,09:45,09:30
,=,=,=,=,=,=,=,,=,=
註 : 本時刻表所列各次列車，於起站與中間站均為開車時刻，於終點站為到達時刻。,,,,,,,,,,
,,,,,,,,,,P.1
,,,,,,,,,,
,,,,,,,,,,
台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
南下(Southbound),,,,,,,,,,
,,,,,,,,,,
行駛日,,,,,六,二~四,,,,六
"      車次

站名",F,D,B,D,B',C,F,D,B,E
,809,613,113,615,1209,1307,813,619,117,1513
,,,,,,,,,,
南港,08:00,08:10,08:20,08:35,08:40,08:50,09:00,09:10,09:20,09:25
,,,,,,,,,,
台北,08:11,08:21,08:31,08:46,08:51,09:01,09:11,09:21,09:31,09:36
,,,,,,,,,,
板橋,08:19,08:29,08:39,08:55,08:59,09:10,09:19,09:29,09:39,09:46
,,,,,,,,,,
桃園,08:34,08:43,↓,09:10,↓,↓,09:34,09:43,↓,10:01
,,,,,,,,,,
新竹,08:47,08:56,↓,09:22,↓,↓,09:47,09:56,↓,10:12
,,,,,,,,,,
苗栗,08:58,↓,↓,↓,↓,↓,09:58,↓,↓,10:25
,,,,,,,,,,
台中,09:17,09:25,09:20,09:48,09:40,09:54,10:17,10:25,10:20,10:42
,,,,,,,,,,=
彰化,09:30,↓,↓,↓,↓,10:06,10:30,↓,↓,
,,,,,,,,,,
雲林,09:41,↓,↓,↓,↓,10:17,10:41,↓,↓,
,,,,,,,,,,
嘉義,09:55,09:50,↓,10:14,↓,10:30,10:55,10:50,↓,
,,,,,,,,,,
台南,10:13,10:07,↓,10:33,10:18,10:48,11:13,11:07,↓,
,,,,,,,,,,
左營,10:25,10:20,10:05,10:45,10:30,11:00,11:25,11:20,11:05,
,=,=,=,=,=,=,=,=,=,
註 : 本時刻表所列各次列車，於起站與中間站均為開車時刻，於終點站為到達時刻。,,,,,,,,,,
,,,,,,,,,,P.2
台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
南下(Southbound),,,,,,,,,,
,,,,,,,,,,
行駛日,,六,六,,,,,六,,六
"      車次

站名",D,B',C,F,D,B,D,B',F,D
,621,1213,1309,817,625,121,627,1217,821,1631
,,,,,,,,,,
南港,09:35,09:40,09:50,10:00,10:10,10:20,10:35,10:40,11:00,11:10
,,,,,,,,,,
台北,09:46,09:51,10:01,10:11,10:21,10:31,10:46,10:51,11:11,11:21
,,,,,,,,,,
板橋,09:55,09:59,10:10,10:19,10:29,10:39,10:55,10:59,11:19,11:29
,,,,,,,,,,
桃園,10:10,↓,↓,10:34,10:43,↓,11:10,↓,11:34,11:43
,,,,,,,,,,
新竹,10:22,↓,↓,10:47,10:56,↓,11:22,↓,11:47,11:56
,,,,,,,,,,
苗栗,↓,↓,↓,10:58,↓,↓,↓,↓,11:58,↓
,,,,,,,,,,
台中,10:48,10:40,10:54,11:17,11:25,11:20,11:48,11:40,12:17,12:25
